,group id,time,participant id,condition,meeting,date
186,11111,372.0,11123,Condition B,Meeting 1,2016-03-03 16:16:25
187,11111,374.0,111,Condition B,Meeting 1,2016-03-03 16:16:25
188,11111,376.0,11123,Condition B,Meeting 1,2016-03-03 16:16:25
189,11111,378.0,N/A,Condition B,Meeting 1,2016-03-03 16:16:25
190,11111,380.0,11123,Condition B,Meeting 1,2016-03-03 16:16:25
191,11111,382.0,N/A,Condition B,Meeting 1,2016-03-03 16:16:25
192,11111,384.0,11123,Condition B,Meeting 1,2016-03-03 16:16:25
193,11111,386.0,111,Condition B,Meeting 1,2016-03-03 16:16:25
194,11111,388.0,11123,Condition B,Meeting 1,2016-03-03 16:16:25
195,11111,390.0,11123,Condition B,Meeting 1,2016-03-03 16:16:25
196,11111,392.0,111,Condition B,Meeting 1,2016-03-03 16:16:25
197,11111,394.0,1112,Condition B,Meeting 1,2016-03-03 16:16:25
198,11111,396.0,1112,Condition B,Meeting 1,2016-03-03 16:16:25
199,11111,398.0,111,Condition B,Meeting 1,2016-03-03 16:16:25
200,11111,400.0,11123,Condition B,Meeting 1,2016-03-03 16:16:25
201,11111,402.0,1112,Condition B,Meeting 1,2016-03-03 16:16:25
202,11111,404.0,111,Condition B,Meeting 1,2016-03-03 16:16:25
203,11111,406.0,1112,Condition B,Meeting 1,2016-03-03 16:16:25
204,11111,408.0,1112,Condition B,Meeting 1,2016-03-03 16:16:25
205,11111,410.0,1112,Condition B,Meeting 1,2016-03-03 16:16:25
206,11111,412.0,1112,Condition B,Meeting 1,2016-03-03 16:16:25
207,11111,414.0,1112,Condition B,Meeting 1,2016-03-03 16:16:25
208,11111,416.0,1112,Condition B,Meeting 1,2016-03-03 16:16:25
209,11111,418.0,111,Condition B,Meeting 1,2016-03-03 16:16:25
210,11111,420.0,111,Condition B,Meeting 1,2016-03-03 16:16:25
211,11111,422.0,11123,Condition B,Meeting 1,2016-03-03 16:16:25
212,11111,424.0,111,Condition B,Meeting 1,2016-03-03 16:16:25
213,11111,426.0,N/A,Condition B,Meeting 1,2016-03-03 16:16:25
214,11111,428.0,111,Condition B,Meeting 1,2016-03-03 16:16:25
215,11111,430.0,111,Condition B,Meeting 1,2016-03-03 16:16:25
216,11111,432.0,111,Condition B,Meeting 1,2016-03-03 16:16:25
217,11111,434.0,111,Condition B,Meeting 1,2016-03-03 16:16:25
218,11111,436.0,1112,Condition B,Meeting 1,2016-03-03 16:16:25
219,11111,438.0,111,Condition B,Meeting 1,2016-03-03 16:16:25
220,11111,440.0,111,Condition B,Meeting 1,2016-03-03 16:16:25
221,11111,442.0,1112,Condition B,Meeting 1,2016-03-03 16:16:25
222,11111,444.0,1112,Condition B,Meeting 1,2016-03-03 16:16:25
223,11111,446.0,1112,Condition B,Meeting 1,2016-03-03 16:16:25
224,11111,448.0,1112,Condition B,Meeting 1,2016-03-03 16:16:25
225,11111,450.0,1112,Condition B,Meeting 1,2016-03-03 16:16:25
226,11111,452.0,1112,Condition B,Meeting 1,2016-03-03 16:16:25
227,11111,454.0,1112,Condition B,Meeting 1,2016-03-03 16:16:25
228,11111,456.0,1112,Condition B,Meeting 1,2016-03-03 16:16:25
229,11111,458.0,1112,Condition B,Meeting 1,2016-03-03 16:16:25
230,11111,460.0,111,Condition B,Meeting 1,2016-03-03 16:16:25
231,11111,462.0,1112,Condition B,Meeting 1,2016-03-03 16:16:25
232,11111,464.0,1112,Condition B,Meeting 1,2016-03-03 16:16:25
233,11111,466.0,1112,Condition B,Meeting 1,2016-03-03 16:16:25
234,11111,468.0,11123,Condition B,Meeting 1,2016-03-03 16:16:25
235,11111,470.0,N/A,Condition B,Meeting 1,2016-03-03 16:16:25
236,11111,472.0,N/A,Condition B,Meeting 1,2016-03-03 16:16:25
237,11111,474.0,N/A,Condition B,Meeting 1,2016-03-03 16:16:25
